version_id,event_id,event_range,phrase_id,section_id,recording_take_no,batch_id,source_split_audio,gesture_id,realization_variant,target_attack_time_s,segment_insert_time_s,render_anchor_s,render_anchor_type,pre_attack_music_policy,tail_policy,tail_end_s,segment_start_s_in_render,segment_end_s_in_render,crossfade_ms,overlap_ms,phrase_boundary_role,experimental_render,production_grade,not_sample_assets,not_recording_segments,not_ml_training_data
B_PHRASE,XWC_P03_N02,XWC_P03_N02,XWC_P03_LOCAL_PHRASE,XWC_P03,T015,batch02,clean_previews/T015_clean_preview.wav,SAN_GOU_4,clean,36.925,36.045,0.880,main_attack,keep_silence,smart_fade_100ms,3.836,36.045,43.125,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P03_N03,XWC_P03_N03,XWC_P03_LOCAL_PHRASE,XWC_P03,T016,batch02,clean_previews/T016_clean_preview.wav,SAN_TIAO_5,clean,39.641,38.741,0.900,main_attack,keep_silence,smart_fade_100ms,3.135,38.741,46.381,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P03_N04,XWC_P03_N04,XWC_P03_LOCAL_PHRASE,XWC_P03,T017,batch02,clean_previews/T017_clean_preview.wav,AN_RING_10_8_GOU_3,clean,42.086,41.360,0.726,main_attack,keep_silence,smart_fade_100ms,2.690,41.360,48.140,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P03_N05,XWC_P03_N05,XWC_P03_LOCAL_PHRASE,XWC_P03,T019,batch02,clean_previews/T019_clean_preview.wav,SAN_TIAO_6,clean,44.477,44.330,0.147,main_attack,keep_silence,smart_fade_100ms,2.944,44.330,50.910,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P03_N06,XWC_P03_N06,XWC_P03_LOCAL_PHRASE,XWC_P03,T021,batch03,clean_previews/T021_clean_preview.wav,AN_THUMB_9_GOU_3,clean,46.983,46.152,0.831,main_attack,keep_silence,smart_fade_100ms,3.237,46.152,52.352,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P04_N01,XWC_P04_N01,XWC_P04_LOCAL_PHRASE,XWC_P04,T022,batch03,clean_previews/T022_clean_preview.wav,SAN_TIAO_5,clean,49.975,48.723,1.252,main_attack,keep_silence,smart_fade_100ms,3.591,48.723,55.863,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P04_N02,XWC_P04_N02,XWC_P04_LOCAL_PHRASE,XWC_P04,T023,batch03,clean_previews/T023_clean_preview.wav,SAN_GOU_3,clean,52.345,51.161,1.184,main_attack,keep_silence,smart_fade_100ms,4.814,51.161,59.441,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P04_N03,XWC_P04_N03,XWC_P04_LOCAL_PHRASE,XWC_P04,T024,batch03,clean_previews/T024_clean_preview.wav,SAN_TIAO_4,clean,55.299,54.505,0.794,main_attack,keep_silence,smart_fade_100ms,3.503,54.505,64.125,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P04_N04,XWC_P04_N04,XWC_P04_LOCAL_PHRASE,XWC_P04,T025,batch03,clean_previews/T025_clean_preview.wav,AN_RING_10_GOU_2,clean,57.889,56.643,1.246,main_attack,keep_silence,smart_fade_100ms,2.977,56.643,63.203,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P04_N05,XWC_P04_N05,XWC_P04_LOCAL_PHRASE,XWC_P04,T027,batch03,clean_previews/T027_clean_preview.wav,SAN_TIAO_5,clean,60.388,60.223,0.165,main_attack,keep_silence,smart_fade_100ms,2.257,60.223,67.573,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P04_N06,XWC_P04_N06,XWC_P04_LOCAL_PHRASE,XWC_P04,T029,batch03,clean_previews/T029_clean_preview.wav,AN_THUMB_9_GOU_2,clean,62.876,61.076,1.800,main_attack,keep_silence,smart_fade_100ms,3.649,61.076,68.756,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P05_N01,XWC_P05_N01,XWC_P05_LOCAL_PHRASE,XWC_P05,T030,batch03,clean_previews/T030_clean_preview.wav,SAN_TIAO_4,clean,65.970,65.084,0.886,main_attack,keep_silence,smart_fade_100ms,4.140,65.084,75.406,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P05_N02,XWC_P05_N02,XWC_P05_LOCAL_PHRASE,XWC_P05,T031,batch04,clean_previews/T031_clean_preview.wav,SAN_GOU_2,clean,68.721,66.220,2.501,main_attack,keep_silence,smart_fade_100ms,4.409,66.220,73.460,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P05_N03,XWC_P05_N03,XWC_P05_LOCAL_PHRASE,XWC_P05,T032,batch04,clean_previews/T032_clean_preview.wav,SAN_TIAO_3,clean,71.070,70.853,0.217,main_attack,keep_silence,smart_fade_100ms,2.267,70.853,77.703,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P05_N04,XWC_P05_N04,XWC_P05_LOCAL_PHRASE,XWC_P05,T033,batch04,clean_previews/T033_clean_preview.wav,AN_RING_10_GOU_1,clean,73.412,72.109,1.303,main_attack,keep_silence,smart_fade_100ms,3.232,72.109,79.199,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P05_N05,XWC_P05_N05,XWC_P05_LOCAL_PHRASE,XWC_P05,T035,batch04,clean_previews/T035_clean_preview.wav,SAN_TIAO_4,clean,75.784,75.647,0.137,main_attack,keep_silence,smart_fade_100ms,2.449,75.647,82.807,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P05_N06,XWC_P05_N06,XWC_P05_LOCAL_PHRASE,XWC_P05,T037,batch04,clean_previews/T037_clean_preview.wav,AN_THUMB_9_GOU_1,clean,78.208,77.345,0.863,main_attack,keep_silence,smart_fade_100ms,2.588,77.345,85.225,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P06_N01,XWC_P06_N01,XWC_P06_LOCAL_PHRASE,XWC_P06,T038,batch04,clean_previews/T038_clean_preview.wav,SAN_TIAO_4,clean,81.333,80.701,0.632,main_attack,keep_silence,smart_fade_100ms,3.060,80.701,90.091,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P06_N02,XWC_P06_N02,XWC_P06_LOCAL_PHRASE,XWC_P06,T039,batch04,clean_previews/T039_clean_preview.wav,AN_THUMB_9_GOU_1,clean,83.832,82.310,1.522,main_attack,keep_silence,smart_fade_100ms,3.274,82.310,89.790,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P06_N03,XWC_P06_N03,XWC_P06_LOCAL_PHRASE,XWC_P06,T041,batch05,clean_previews/T041_clean_preview.wav,SAN_TIAO_5,clean,86.319,84.607,1.712,main_attack,keep_silence,smart_fade_100ms,3.509,84.607,93.307,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P06_N04,XWC_P06_N04,XWC_P06_LOCAL_PHRASE,XWC_P06,T043,batch05,clean_previews/T043_clean_preview.wav,AN_THUMB_9_GOU_2,clean,88.762,87.228,1.534,main_attack,keep_silence,smart_fade_100ms,2.948,87.228,93.908,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P07_N01,XWC_P07_N01,XWC_P07_LOCAL_PHRASE,XWC_P07,T044,batch05,clean_previews/T044_clean_preview.wav,SAN_TIAO_6,clean,91.800,91.153,0.647,main_attack,keep_silence,smart_fade_100ms,2.406,91.153,99.533,120,30,phrase_start,true,false,true,true,true
